storm_name,category,year,shelters,meals,water_gallons,fuel_gallons,storm_id
CHARLEY,3,2004,250,2000000,300000,100000,AL032004
FRANCES,3,2004,250,3500000,1500000,200000,AL062004
IVAN,3,2004,120,2000000,700000,200000,AL092004
JEANNE,-1,2004,200,4000000,1500000,200000,AL112004
DENNIS,-1,2005,70,1000000,500000,100000,AL042005
KATRINA,1,2005,5,100000,50000,0,AL122005
WILMA,4,2005,100,8000000,3000000,100000,AL252005
HERMINE,1,2016,20,50000,10000,0,AL092016
IRMA,5,2017,585,15000000,6000000,1000000,AL112017
MICHAEL,5,2018,54,1500000,1000000,500000,AL142018
SALLY,-1,2020,10,200000,100000,50000,AL192020
IAN,3,2022,260,19000000,6700000,1400000,AL092022
IDALIA,-1,2023,30,500000,300000,100000,AL102023
