storm_name,category,year,shelters,meals,water_gallons,fuel_gallons,storm_id,maximum_sustained_wind_knots_max,maximum_sustained_wind_knots_mean,central_pressure_mb_min,central_pressure_mb_mean,radius_of_max_wind_nm_max,radius_of_max_wind_nm_mean
CHARLEY,3,2004,250,2000000,300000,100000,AL032004,130,109.4444444,941,957.8888889,5,5
FRANCES,3,2004,250,3500000,1500000,200000,AL062004,95,70,958,971.6,30,30
IVAN,3,2004,120,2000000,700000,200000,AL092004,110,47.27272727,931,990.5454545,25,25
JEANNE,-1,2004,200,4000000,1500000,200000,AL112004,105,73.33333333,950,965.1111111,45,45
DENNIS,-1,2005,70,1000000,500000,100000,AL042005,125,111.25,930,941.125,5,5
KATRINA,1,2005,5,100000,50000,90000,AL122005,145,85,909,966.3,15,15
WILMA,4,2005,100,8000000,3000000,100000,AL252005,110,105,950,951.5,25,25
HERMINE,1,2016,20,50000,10000,70000,AL092016,70,66,981,983.6,20,20
IRMA,5,2017,585,15000000,6000000,1000000,AL112017,115,85.55555556,931,947,15,11.66666667
MICHAEL,5,2018,54,1500000,1000000,500000,AL142018,140,130,919,929.5,10,10
SALLY,-1,2020,10,200000,100000,50000,AL192020,95,61.73913043,965,987.3478261,15,15
IAN,3,2022,260,19000000,6700000,1400000,AL092022,140,108.3333333,937,956.5333333,40,25.33333333
IDALIA,-1,2023,30,500000,300000,100000,AL102023,115,101.25,942,952,15,10.625
